,med_oop,std_oop,exp_num,g_name,treatment,flow,date,group,replicate,sector_samp
91,-0.32551856885030817,0.6833897163617074,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,223
92,0.6156614753256584,0.5820250055739492,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,224
93,0.6292245425060988,0.5974297143497908,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,225
94,0.7312423129080228,0.7166277365467609,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,226
95,0.559192903470747,0.6038837314273429,56,Heparin S1P-DF,Co-Treatment,DF,41923,6,4,227
96,0.5877852522924734,0.6349776880576191,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,228
97,0.4067366430758004,0.6777360699290408,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,229
98,0.12185078211385945,0.687991626358229,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,230
99,0.3746065934159122,0.6715335995068129,57,Heparin S1P-UF,Co-Treatment,UF,31723,8,2,231
100,-0.1736481776669303,0.722185478628552,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,232
101,0.0697564737441251,0.7073409066405197,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,233
102,-0.3090169943749474,0.7511061619960573,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,234
103,-0.0697564737441254,0.7137176721846447,58,Heparin S1P-Static,Co-Treatment,Static,31723,7,2,235
104,0.6156614753256584,0.6356194614951602,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,236
105,0.4539213547874842,0.739836942616989,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,237
106,0.4683279536545025,0.6848749979342208,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,238
107,0.5149596321166025,0.6614365084693076,59,Heparin S1P-DF,Co-Treatment,DF,31723,6,2,239
